review_id,movie_id,ground_truth
rw4978482,tt6320628,NEGATIVE
rw5513843,tt6320628,NEGATIVE
rw5033113,tt6320628,NEGATIVE
rw7687927,tt2250912,NEGATIVE
rw3747611,tt2250912,NEGATIVE
rw7989912,tt10872600,NEGATIVE
rw7694391,tt10872600,NEGATIVE
rw2604145,tt0848228,NEGATIVE
rw2647107,tt0848228,NEGATIVE
rw10668132,tt10676052,NEGATIVE
rw10665428,tt10676052,NEGATIVE
rw5354855,tt0800080,NEGATIVE
rw1894165,tt0800080,NEGATIVE
rw9610626,tt10676048,NEGATIVE
rw9443929,tt10676048,NEGATIVE
rw2487547,tt0800369,NEGATIVE
rw2607106,tt0800369,NEGATIVE
rw8537665,tt10648342,NEGATIVE
rw8342581,tt10648342,NEGATIVE
rw4070022,tt3501632,NEGATIVE
rw4273638,tt3501632,NEGATIVE
rw2912866,tt1981115,NEGATIVE
rw7268132,tt1981115,NEGATIVE
rw10619378,tt20969586,NEGATIVE
rw10531187,tt20969586,NEGATIVE
rw6396076,tt0478970,NEGATIVE
rw3289499,tt0478970,NEGATIVE
rw3362644,tt0478970,NEGATIVE
rw10925277,tt5095030,NEGATIVE
rw4421469,tt5095030,NEGATIVE
rw4372549,tt5095030,NEGATIVE
rw10610210,tt10954600,NEGATIVE
rw9002216,tt10954600,NEGATIVE
rw9001617,tt10954600,NEGATIVE
rw5251587,tt2395427,NEGATIVE
rw10483148,tt2395427,NEGATIVE
rw9723386,tt2395427,NEGATIVE
rw4854488,tt4154796,NEGATIVE
rw6602701,tt4154796,NEGATIVE
rw5243190,tt4154796,NEGATIVE
rw10569259,tt4154756,NEGATIVE
rw4155674,tt4154756,NEGATIVE
rw4782962,tt4154756,NEGATIVE
rw5517945,tt1825683,NEGATIVE
rw4199940,tt1825683,NEGATIVE
rw4332001,tt1825683,NEGATIVE
rw8872492,tt9114286,NEGATIVE
rw8890843,tt9114286,NEGATIVE
rw8667270,tt9114286,NEGATIVE
rw7324992,tt3480822,NEGATIVE
rw7346106,tt3480822,NEGATIVE
rw7109100,tt3480822,NEGATIVE
rw10545805,tt14513804,NEGATIVE
rw10340811,tt14513804,NEGATIVE
rw10320223,tt14513804,NEGATIVE
rw8363097,tt3498820,NEGATIVE
rw9112313,tt3498820,NEGATIVE
rw3467404,tt3498820,NEGATIVE
rw10346629,tt0458339,NEGATIVE
rw2515586,tt0458339,NEGATIVE
rw2468152,tt0458339,NEGATIVE
rw10817821,tt1843866,NEGATIVE
rw2990919,tt1843866,NEGATIVE
rw5686623,tt1843866,NEGATIVE
rw4903467,tt4154664,NEGATIVE
rw4707879,tt4154664,NEGATIVE
rw4800717,tt4154664,NEGATIVE
rw10139365,tt6263850,NEGATIVE
rw9940190,tt6263850,NEGATIVE
rw10057698,tt6263850,NEGATIVE
rw3572082,tt1211837,NEGATIVE
rw4792501,tt1211837,NEGATIVE
rw3591009,tt1211837,NEGATIVE
rw8148053,tt9419884,NEGATIVE
rw8314425,tt9419884,NEGATIVE
rw8326957,tt9419884,NEGATIVE
rw7910441,tt9032400,NEGATIVE
rw7567452,tt9032400,NEGATIVE
rw7791618,tt9032400,NEGATIVE
rw3104636,tt2015381,NEGATIVE
rw4031495,tt2015381,NEGATIVE
rw3135371,tt2015381,NEGATIVE
rw3707927,tt3896198,NEGATIVE
rw3788320,tt3896198,NEGATIVE
rw3775872,tt3896198,NEGATIVE
rw9031835,tt6791350,NEGATIVE
rw9190881,tt6791350,NEGATIVE
rw9051138,tt6791350,NEGATIVE
rw2082124,tt0371746,NEGATIVE
rw1866775,tt0371746,NEGATIVE
rw1900556,tt0371746,NEGATIVE
rw2247863,tt1228705,NEGATIVE
rw2246237,tt1228705,NEGATIVE
rw2328364,tt1228705,NEGATIVE
rw2796606,tt1300854,NEGATIVE
rw11100342,tt1300854,NEGATIVE
rw2799696,tt1300854,NEGATIVE
rw7781834,tt9376612,NEGATIVE
rw7547795,tt9376612,NEGATIVE
rw7541035,tt9376612,NEGATIVE
rw4980721,tt6320628,NEGATIVE
rw4987141,tt6320628,NEGATIVE
rw6091286,tt6320628,NEGATIVE
rw5277698,tt2250912,NEGATIVE
rw3771747,tt2250912,NEGATIVE
rw9394690,tt10872600,NEGATIVE
rw7701283,tt10872600,NEGATIVE
rw2609406,tt0848228,NEGATIVE
rw2614541,tt0848228,NEGATIVE
rw10856455,tt10676052,NEGATIVE
rw10695397,tt10676052,NEGATIVE
rw1948853,tt0800080,NEGATIVE
rw2913822,tt0800080,NEGATIVE
rw9614929,tt10676048,NEGATIVE
rw9624807,tt10676048,NEGATIVE
rw7978946,tt0800369,NEGATIVE
rw3008737,tt0800369,NEGATIVE
rw8542412,tt10648342,NEGATIVE
rw8364570,tt10648342,NEGATIVE
rw3846506,tt3501632,NEGATIVE
rw3841200,tt3501632,NEGATIVE
rw2981781,tt1981115,NEGATIVE
rw10193985,tt1981115,NEGATIVE
rw10817406,tt20969586,NEGATIVE
rw10736242,tt20969586,NEGATIVE
rw3278505,tt0478970,NEGATIVE
rw3287316,tt0478970,NEGATIVE
rw7139974,tt0478970,NEGATIVE
rw4269956,tt5095030,NEGATIVE
rw4638143,tt5095030,NEGATIVE
rw4282098,tt5095030,NEGATIVE
rw8897231,tt10954600,NEGATIVE
rw8875073,tt10954600,NEGATIVE
rw8872622,tt10954600,NEGATIVE
rw4784280,tt2395427,NEGATIVE
rw3229320,tt2395427,NEGATIVE
rw3521843,tt2395427,NEGATIVE
rw4800273,tt4154796,NEGATIVE
rw4818005,tt4154796,NEGATIVE
rw4816916,tt4154796,NEGATIVE
rw4181645,tt4154756,NEGATIVE
rw4195532,tt4154756,NEGATIVE
rw4383865,tt4154756,NEGATIVE
rw4197731,tt1825683,NEGATIVE
rw4122532,tt1825683,NEGATIVE
rw4065529,tt1825683,NEGATIVE
rw8935559,tt9114286,NEGATIVE
rw8850094,tt9114286,NEGATIVE
rw8851885,tt9114286,NEGATIVE
rw7139511,tt3480822,NEGATIVE
rw7124928,tt3480822,NEGATIVE
rw7135609,tt3480822,NEGATIVE
rw10322558,tt14513804,NEGATIVE
rw10370860,tt14513804,NEGATIVE
rw10326897,tt14513804,NEGATIVE
rw3754439,tt3498820,NEGATIVE
rw3465926,tt3498820,NEGATIVE
rw3589671,tt3498820,NEGATIVE
rw2597541,tt0458339,NEGATIVE
rw2559330,tt0458339,NEGATIVE
rw3481775,tt0458339,NEGATIVE
rw3005846,tt1843866,NEGATIVE
rw2998227,tt1843866,NEGATIVE
rw3444533,tt1843866,NEGATIVE
rw4710376,tt4154664,NEGATIVE
rw4781355,tt4154664,NEGATIVE
rw4709073,tt4154664,NEGATIVE
rw9949048,tt6263850,NEGATIVE
rw10066397,tt6263850,NEGATIVE
rw9943275,tt6263850,NEGATIVE
rw3709179,tt1211837,NEGATIVE
rw4092345,tt1211837,NEGATIVE
rw5721917,tt1211837,NEGATIVE
rw8123203,tt9419884,NEGATIVE
rw8121721,tt9419884,NEGATIVE
rw8268353,tt9419884,NEGATIVE
rw10786430,tt9032400,NEGATIVE
rw8571874,tt9032400,NEGATIVE
rw7769273,tt9032400,NEGATIVE
rw4631717,tt2015381,NEGATIVE
rw3143849,tt2015381,NEGATIVE
rw3139444,tt2015381,NEGATIVE
rw10572014,tt3896198,NEGATIVE
rw3702861,tt3896198,NEGATIVE
rw7438737,tt3896198,NEGATIVE
rw9107219,tt6791350,NEGATIVE
rw9213910,tt6791350,NEGATIVE
rw9397961,tt6791350,NEGATIVE
rw2020312,tt0371746,NEGATIVE
rw6319784,tt0371746,NEGATIVE
rw5085340,tt0371746,NEGATIVE
rw8135811,tt1228705,NEGATIVE
rw2247022,tt1228705,NEGATIVE
rw2371342,tt1228705,NEGATIVE
rw2788002,tt1300854,NEGATIVE
rw2793049,tt1300854,NEGATIVE
rw2789574,tt1300854,NEGATIVE
rw8909848,tt9376612,NEGATIVE
rw8326595,tt9376612,NEGATIVE
rw7306798,tt9376612,NEGATIVE
rw7654996,tt6320628,NEGATIVE
rw5128261,tt6320628,NEGATIVE
rw4965262,tt6320628,NEGATIVE
rw3836771,tt2250912,NEGATIVE
rw7983808,tt2250912,NEGATIVE
rw7693438,tt10872600,NEGATIVE
rw7947148,tt10872600,NEGATIVE
rw2611264,tt0848228,NEGATIVE
rw2614497,tt0848228,NEGATIVE
rw10663694,tt10676052,NEGATIVE
rw10668828,tt10676052,NEGATIVE
rw4808201,tt0800080,NEGATIVE
rw4635556,tt0800080,NEGATIVE
rw9444198,tt10676048,NEGATIVE
rw9428641,tt10676048,NEGATIVE
rw2505161,tt0800369,NEGATIVE
rw2467003,tt0800369,NEGATIVE
rw8375987,tt10648342,NEGATIVE
rw8350599,tt10648342,NEGATIVE
rw7413655,tt3501632,NEGATIVE
rw3842513,tt3501632,NEGATIVE
rw4534119,tt1981115,NEGATIVE
rw7664259,tt1981115,NEGATIVE
rw10762730,tt20969586,NEGATIVE
rw10499990,tt20969586,NEGATIVE
rw3281206,tt0478970,NEGATIVE
rw3291356,tt0478970,NEGATIVE
rw3363674,tt0478970,NEGATIVE
rw5040053,tt5095030,NEGATIVE
rw8214532,tt5095030,NEGATIVE
rw4279068,tt5095030,NEGATIVE
rw8879042,tt10954600,NEGATIVE
rw8880524,tt10954600,NEGATIVE
rw8881785,tt10954600,NEGATIVE
rw3226784,tt2395427,NEGATIVE
rw3241075,tt2395427,NEGATIVE
rw3234150,tt2395427,NEGATIVE
rw4841442,tt4154796,NEGATIVE
rw4858281,tt4154796,NEGATIVE
rw4877638,tt4154796,NEGATIVE
rw4602776,tt4154756,NEGATIVE
rw4152959,tt4154756,NEGATIVE
rw4300024,tt4154756,NEGATIVE
rw4063336,tt1825683,NEGATIVE
rw4061978,tt1825683,NEGATIVE
rw4200932,tt1825683,NEGATIVE
rw8867562,tt9114286,NEGATIVE
rw8845165,tt9114286,NEGATIVE
rw9590776,tt9114286,NEGATIVE
rw7116277,tt3480822,NEGATIVE
rw7123082,tt3480822,NEGATIVE
rw7221062,tt3480822,NEGATIVE
rw10542480,tt14513804,NEGATIVE
rw10326797,tt14513804,NEGATIVE
rw10321667,tt14513804,NEGATIVE
rw9568670,tt3498820,NEGATIVE
rw7382545,tt3498820,NEGATIVE
rw3536738,tt3498820,NEGATIVE
rw7387518,tt0458339,NEGATIVE
rw2538776,tt0458339,NEGATIVE
rw2483025,tt0458339,NEGATIVE
rw2993642,tt1843866,NEGATIVE
rw2990847,tt1843866,NEGATIVE
rw2999390,tt1843866,NEGATIVE
rw4954647,tt4154664,NEGATIVE
rw4717013,tt4154664,NEGATIVE
rw4956653,tt4154664,NEGATIVE
rw9934385,tt6263850,NEGATIVE
rw9940613,tt6263850,NEGATIVE
rw10454330,tt6263850,NEGATIVE
rw3659300,tt1211837,NEGATIVE
rw7226983,tt1211837,NEGATIVE
rw7496659,tt1211837,NEGATIVE
rw8286941,tt9419884,NEGATIVE
rw8134775,tt9419884,NEGATIVE
rw8119283,tt9419884,NEGATIVE
rw7763616,tt9032400,NEGATIVE
rw8065164,tt9032400,NEGATIVE
rw8295841,tt9032400,NEGATIVE
rw4614784,tt2015381,NEGATIVE
rw8145304,tt2015381,NEGATIVE
rw3274820,tt2015381,NEGATIVE
rw4743928,tt3896198,NEGATIVE
rw3694349,tt3896198,NEGATIVE
rw5438878,tt3896198,NEGATIVE
rw9287751,tt6791350,NEGATIVE
rw9238336,tt6791350,NEGATIVE
rw9046222,tt6791350,NEGATIVE
rw2014808,tt0371746,NEGATIVE
rw4552103,tt0371746,NEGATIVE
rw1873106,tt0371746,NEGATIVE
rw2261085,tt1228705,NEGATIVE
rw9564323,tt1228705,NEGATIVE
rw2246316,tt1228705,NEGATIVE
rw2810518,tt1300854,NEGATIVE
rw2798403,tt1300854,NEGATIVE
rw2791771,tt1300854,NEGATIVE
rw7544470,tt9376612,NEGATIVE
rw7537457,tt9376612,NEGATIVE
rw7330051,tt9376612,NEGATIVE
rw6821853,tt6320628,NEGATIVE
rw4987019,tt6320628,NEGATIVE
rw4979753,tt6320628,NEGATIVE
rw3762006,tt2250912,NEGATIVE
rw3755195,tt2250912,NEGATIVE
rw7649914,tt10872600,NEGATIVE
rw7947983,tt10872600,NEGATIVE
rw2898832,tt0848228,NEGATIVE
rw2637339,tt0848228,NEGATIVE
rw10691795,tt10676052,NEGATIVE
rw10836289,tt10676052,NEGATIVE
rw2013522,tt0800080,NEGATIVE
rw4312739,tt0800080,NEGATIVE
rw9426152,tt10676048,NEGATIVE
rw9566506,tt10676048,NEGATIVE
rw5739628,tt0800369,NEGATIVE
rw4253882,tt0800369,NEGATIVE
rw8590366,tt10648342,NEGATIVE
rw8500453,tt10648342,NEGATIVE
rw3848870,tt3501632,NEGATIVE
rw3843593,tt3501632,NEGATIVE
rw2987333,tt1981115,NEGATIVE
rw9495143,tt1981115,NEGATIVE
rw10523038,tt20969586,NEGATIVE
rw10494964,tt20969586,NEGATIVE
rw4581616,tt0478970,POSITIVE
rw3370287,tt0478970,NEGATIVE
rw4894474,tt0478970,NEGATIVE
rw4862350,tt5095030,NEGATIVE
rw4229177,tt5095030,NEGATIVE
rw5474052,tt5095030,NEGATIVE
rw8881154,tt10954600,NEGATIVE
rw8875471,tt10954600,NEGATIVE
rw9261319,tt10954600,NEGATIVE
rw3227118,tt2395427,NEGATIVE
rw3292486,tt2395427,NEGATIVE
rw3311799,tt2395427,NEGATIVE
rw4803977,tt4154796,NEGATIVE
rw6340332,tt4154796,NEGATIVE
rw4813534,tt4154796,NEGATIVE
rw4290704,tt4154756,NEGATIVE
rw4267953,tt4154756,NEGATIVE
rw4146548,tt4154756,NEGATIVE
rw4070039,tt1825683,NEGATIVE
rw8294038,tt1825683,NEGATIVE
rw4687945,tt1825683,NEGATIVE
rw8929545,tt9114286,NEGATIVE
rw8851513,tt9114286,NEGATIVE
rw8675363,tt9114286,NEGATIVE
rw7126294,tt3480822,NEGATIVE
rw7142784,tt3480822,NEGATIVE
rw7122149,tt3480822,NEGATIVE
rw10430241,tt14513804,NEGATIVE
rw10325811,tt14513804,NEGATIVE
rw10562367,tt14513804,NEGATIVE
rw3744129,tt3498820,NEGATIVE
rw8791901,tt3498820,NEGATIVE
rw3459289,tt3498820,NEGATIVE
rw2463897,tt0458339,NEGATIVE
rw8168048,tt0458339,NEGATIVE
rw7245786,tt0458339,NEGATIVE
rw3008572,tt1843866,POSITIVE
rw3302035,tt1843866,POSITIVE
rw5596025,tt1843866,NEGATIVE
rw5377577,tt4154664,NEGATIVE
rw4714467,tt4154664,NEGATIVE
rw4709548,tt4154664,NEGATIVE
rw9959530,tt6263850,NEGATIVE
rw10051782,tt6263850,NEGATIVE
rw9934254,tt6263850,POSITIVE
rw3572960,tt1211837,POSITIVE
rw3575623,tt1211837,POSITIVE
rw3787762,tt1211837,POSITIVE
rw8137267,tt9419884,NEGATIVE
rw8629833,tt9419884,NEGATIVE
rw8210083,tt9419884,NEGATIVE
rw7751954,tt9032400,NEGATIVE
rw7508398,tt9032400,NEGATIVE
rw7545781,tt9032400,NEGATIVE
rw5937094,tt2015381,NEGATIVE
rw3302160,tt2015381,NEGATIVE
rw3172554,tt2015381,NEGATIVE
rw3709058,tt3896198,NEGATIVE
rw3785968,tt3896198,NEGATIVE
rw3751863,tt3896198,NEGATIVE
rw9067525,tt6791350,NEGATIVE
rw9035275,tt6791350,NEGATIVE
rw9057594,tt6791350,NEGATIVE
rw10507924,tt0371746,NEGATIVE
rw7388482,tt0371746,NEGATIVE
rw4183948,tt0371746,NEGATIVE
rw2252845,tt1228705,NEGATIVE
rw2326947,tt1228705,NEGATIVE
rw2305812,tt1228705,NEGATIVE
rw2801540,tt1300854,NEGATIVE
rw2792214,tt1300854,NEGATIVE
rw2824103,tt1300854,NEGATIVE
rw7671083,tt9376612,POSITIVE
rw8071091,tt9376612,POSITIVE
rw7526092,tt9376612,NEGATIVE
rw4992039,tt6320628,NEGATIVE
rw5002627,tt6320628,NEGATIVE
rw5481790,tt6320628,POSITIVE
rw5525206,tt2250912,POSITIVE
rw6843138,tt2250912,NEGATIVE
rw7794480,tt10872600,NEGATIVE
rw7695686,tt10872600,NEGATIVE
rw4769523,tt0848228,NEGATIVE
rw2678735,tt0848228,NEGATIVE
rw10695381,tt10676052,POSITIVE
rw10929229,tt10676052,NEGATIVE
rw1967825,tt0800080,NEGATIVE
rw1948205,tt0800080,NEGATIVE
rw9425147,tt10676048,NEGATIVE
rw9433695,tt10676048,POSITIVE
rw2424965,tt0800369,POSITIVE
rw2429971,tt0800369,NEGATIVE
rw8338728,tt10648342,NEGATIVE
rw8331725,tt10648342,NEGATIVE
rw4702053,tt3501632,NEGATIVE
rw3842407,tt3501632,NEGATIVE
rw8980510,tt1981115,NEGATIVE
rw10030066,tt1981115,POSITIVE
rw10652926,tt20969586,POSITIVE
rw10522514,tt20969586,NEGATIVE
rw4754879,tt0478970,POSITIVE
rw3281670,tt0478970,POSITIVE
rw3282686,tt0478970,POSITIVE
rw10810638,tt5095030,NEGATIVE
rw4766758,tt5095030,POSITIVE
rw4928441,tt5095030,POSITIVE
rw8874463,tt10954600,NEGATIVE
rw8880869,tt10954600,NEGATIVE
rw8886212,tt10954600,NEGATIVE
rw3230590,tt2395427,NEGATIVE
rw3231138,tt2395427,NEGATIVE
rw9010786,tt2395427,POSITIVE
rw5248034,tt4154796,NEGATIVE
rw4820182,tt4154796,POSITIVE
rw4824012,tt4154796,NEGATIVE
rw4699023,tt4154756,NEGATIVE
rw4388367,tt4154756,NEGATIVE
rw4144035,tt4154756,NEGATIVE
rw5228017,tt1825683,NEGATIVE
rw7647634,tt1825683,NEGATIVE
rw4066975,tt1825683,NEGATIVE
rw8691954,tt9114286,NEGATIVE
rw8736576,tt9114286,NEGATIVE
rw8682668,tt9114286,NEGATIVE
rw7168183,tt3480822,NEGATIVE
rw7102744,tt3480822,POSITIVE
rw7427330,tt3480822,POSITIVE
rw10386245,tt14513804,NEGATIVE
rw10426969,tt14513804,POSITIVE
rw10484256,tt14513804,POSITIVE
rw3461424,tt3498820,POSITIVE
rw9513253,tt3498820,POSITIVE
rw5286125,tt3498820,NEGATIVE
rw2462698,tt0458339,POSITIVE
rw2467584,tt0458339,POSITIVE
rw2466649,tt0458339,POSITIVE
rw2993891,tt1843866,POSITIVE
rw5906376,tt1843866,NEGATIVE
rw2997423,tt1843866,POSITIVE
rw4727248,tt4154664,NEGATIVE
rw4716190,tt4154664,NEGATIVE
rw4730675,tt4154664,NEGATIVE
rw10329309,tt6263850,POSITIVE
rw10078600,tt6263850,NEGATIVE
rw9961973,tt6263850,NEGATIVE
rw3590012,tt1211837,POSITIVE
rw3755759,tt1211837,NEGATIVE
rw3779851,tt1211837,POSITIVE
rw8123777,tt9419884,NEGATIVE
rw8248278,tt9419884,NEGATIVE
rw8302950,tt9419884,NEGATIVE
rw7754231,tt9032400,NEGATIVE
rw7520929,tt9032400,NEGATIVE
rw7749558,tt9032400,NEGATIVE
rw4253176,tt2015381,POSITIVE
rw4224710,tt2015381,POSITIVE
rw3069031,tt2015381,NEGATIVE
rw7231985,tt3896198,NEGATIVE
rw3696431,tt3896198,NEGATIVE
rw6638110,tt3896198,NEGATIVE
rw10897459,tt6791350,NEGATIVE
rw9242317,tt6791350,NEGATIVE
rw9946048,tt6791350,NEGATIVE
rw1946344,tt0371746,NEGATIVE
rw1872663,tt0371746,NEGATIVE
rw4974981,tt0371746,NEGATIVE
rw2246293,tt1228705,NEGATIVE
rw2255456,tt1228705,NEGATIVE
rw6120744,tt1228705,POSITIVE
rw11225684,tt1300854,NEGATIVE
rw2813748,tt1300854,NEGATIVE
rw2791533,tt1300854,NEGATIVE
rw7533886,tt9376612,NEGATIVE
rw10468945,tt9376612,POSITIVE
rw7686647,tt9376612,POSITIVE
rw5252206,tt6320628,NEGATIVE
rw4991437,tt6320628,POSITIVE
rw4999632,tt6320628,NEGATIVE
rw6644386,tt2250912,NEGATIVE
rw5193298,tt2250912,NEGATIVE
rw7736912,tt10872600,NEGATIVE
rw7948840,tt10872600,NEGATIVE
rw9684923,tt0848228,POSITIVE
rw2610815,tt0848228,POSITIVE
rw10695014,tt10676052,NEGATIVE
rw10660995,tt10676052,NEGATIVE
rw10858277,tt0800080,NEGATIVE
rw3130882,tt0800080,POSITIVE
rw9442459,tt10676048,NEGATIVE
rw9612463,tt10676048,POSITIVE
rw8964339,tt0800369,POSITIVE
rw2430927,tt0800369,POSITIVE
rw8533577,tt10648342,POSITIVE
rw8310983,tt10648342,POSITIVE
rw3860461,tt3501632,NEGATIVE
rw3848886,tt3501632,NEGATIVE
rw5302033,tt1981115,POSITIVE
rw2904601,tt1981115,POSITIVE
rw10611997,tt20969586,NEGATIVE
rw10731560,tt20969586,POSITIVE
rw4439802,tt0478970,POSITIVE
rw3278131,tt0478970,POSITIVE
rw10461899,tt0478970,NEGATIVE
rw4252686,tt5095030,POSITIVE
rw4678036,tt5095030,POSITIVE
rw9059901,tt5095030,POSITIVE
rw9103198,tt10954600,NEGATIVE
rw10291559,tt10954600,POSITIVE
rw8885184,tt10954600,POSITIVE
rw4231803,tt2395427,POSITIVE
rw3715171,tt2395427,POSITIVE
rw3231048,tt2395427,POSITIVE
rw4809747,tt4154796,POSITIVE
rw4804306,tt4154796,POSITIVE
rw4803930,tt4154796,POSITIVE
rw4146197,tt4154756,NEGATIVE
rw4179698,tt4154756,NEGATIVE
rw4149621,tt4154756,NEGATIVE
rw4064220,tt1825683,POSITIVE
rw4065853,tt1825683,NEGATIVE
rw4062117,tt1825683,POSITIVE
rw8692742,tt9114286,POSITIVE
rw8686152,tt9114286,NEGATIVE
rw8672276,tt9114286,POSITIVE
rw7190121,tt3480822,NEGATIVE
rw7116455,tt3480822,POSITIVE
rw7124182,tt3480822,POSITIVE
rw10327683,tt14513804,POSITIVE
rw10330547,tt14513804,POSITIVE
rw10327550,tt14513804,POSITIVE
rw3466006,tt3498820,POSITIVE
rw3459271,tt3498820,POSITIVE
rw3733244,tt3498820,POSITIVE
rw6717883,tt0458339,POSITIVE
rw2471303,tt0458339,POSITIVE
rw2668662,tt0458339,POSITIVE
rw5977396,tt1843866,NEGATIVE
rw3087010,tt1843866,POSITIVE
rw9116359,tt1843866,POSITIVE
rw4709403,tt4154664,POSITIVE
rw4730206,tt4154664,POSITIVE
rw4711105,tt4154664,POSITIVE
rw9935063,tt6263850,POSITIVE
rw9921601,tt6263850,POSITIVE
rw10362245,tt6263850,POSITIVE
rw4239439,tt1211837,NEGATIVE
rw3579698,tt1211837,POSITIVE
rw3568717,tt1211837,POSITIVE
rw8124510,tt9419884,POSITIVE
rw8263956,tt9419884,POSITIVE
rw8481331,tt9419884,POSITIVE
rw8082674,tt9032400,POSITIVE
rw7549279,tt9032400,POSITIVE
rw8253291,tt9032400,POSITIVE
rw3139250,tt2015381,NEGATIVE
rw3071941,tt2015381,POSITIVE
rw9854299,tt2015381,POSITIVE
rw3702095,tt3896198,NEGATIVE
rw3718799,tt3896198,NEGATIVE
rw6382424,tt3896198,NEGATIVE
rw9852382,tt6791350,NEGATIVE
rw9392530,tt6791350,POSITIVE
rw9190209,tt6791350,NEGATIVE
rw1873147,tt0371746,POSITIVE
rw4596848,tt0371746,POSITIVE
rw1891030,tt0371746,POSITIVE
rw5878633,tt1228705,NEGATIVE
rw3765592,tt1228705,POSITIVE
rw10784864,tt1228705,POSITIVE
rw4175491,tt1300854,NEGATIVE
rw8113764,tt1300854,POSITIVE
rw10924504,tt1300854,POSITIVE
rw7303484,tt9376612,POSITIVE
rw7546778,tt9376612,POSITIVE
rw7353220,tt9376612,POSITIVE
rw4989009,tt6320628,POSITIVE
rw4991172,tt6320628,POSITIVE
rw4980099,tt6320628,POSITIVE
rw3787960,tt2250912,POSITIVE
rw4090244,tt2250912,POSITIVE
rw7657349,tt10872600,POSITIVE
rw10034350,tt10872600,POSITIVE
rw2620696,tt0848228,POSITIVE
rw9512923,tt0848228,POSITIVE
rw10951129,tt10676052,POSITIVE
rw10821106,tt10676052,POSITIVE
rw2637043,tt0800080,POSITIVE
rw8170225,tt0800080,POSITIVE
rw10073321,tt10676048,POSITIVE
rw10454183,tt10676048,POSITIVE
rw2426569,tt0800369,POSITIVE
rw2417501,tt0800369,POSITIVE
rw8598450,tt10648342,POSITIVE
rw8319797,tt10648342,POSITIVE
rw3842394,tt3501632,POSITIVE
rw7780635,tt3501632,POSITIVE
rw5946873,tt1981115,POSITIVE
rw3050246,tt1981115,POSITIVE
rw10488010,tt20969586,POSITIVE
rw10866116,tt20969586,POSITIVE
rw3294302,tt0478970,POSITIVE
rw7676638,tt0478970,POSITIVE
rw3279693,tt0478970,POSITIVE
rw4293895,tt5095030,POSITIVE
rw4235839,tt5095030,POSITIVE
